"response__status","symbol__id","symbol__symbol","symbol__title","symbol__is_following","symbol__watchlist_count","cursor__more","cursor__since","cursor__max","messages__id","messages__body","messages__created_at","messages__user__id","messages__user__username","messages__user__name","messages__user__avatar_url","messages__user__avatar_url_ssl","messages__user__join_date","messages__user__official","messages__user__identity","messages__user__followers","messages__user__following","messages__user__ideas","messages__user__watchlist_stocks_count","messages__user__like_count","messages__user__plus_tier","messages__user__premium_room","messages__user__trade_app","messages__source__id","messages__source__title","messages__source__url","messages__symbols__id","messages__symbols__symbol","messages__symbols__title","messages__symbols__is_following","messages__symbols__watchlist_count","messages__entities__sentiment__basic","messages__entities__chart__thumb","messages__entities__chart__large","messages__entities__chart__original","messages__entities__chart__url","messages__conversation__parent_message_id","messages__conversation__in_reply_to_message_id","messages__conversation__parent","messages__conversation__replies","messages__likes__total","messages__likes__user_ids__001","messages__entities__sentiment","messages__likes__user_ids__002","messages__links__title","messages__links__url","messages__links__shortened_url","messages__links__shortened_expanded_url","messages__links__description","messages__links__image","messages__links__created_at","messages__links__video_url","messages__links__source__name","messages__links__source__website","messages__likes__user_ids__003","messages__likes__user_ids__004","messages__entities__giphy__id","messages__entities__giphy__ratio","messages__symbols__aliases__-"
"200","8660","TSLA","Tesla, Inc.","False","629879","True","300529538","300525918","300529538","$IPOF $STPK $TSLA going up this week or down? $TNXP $NIO","2021-03-07T20:47:33Z","4050405","Dan786","Dan","http://avatars.stocktwits.com/images/default_avatar_thumb.jpg","https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg","2020-09-06","False","User","5","7","576","8","193","","","False","1149","StockTwits for iOS","http://www.stocktwits.com/mobile","6499","NIO","NIO Inc.","False","269287","Bullish","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","TSLA","Tesla, Inc.","False","629879","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11585","TNXP","Tonix Pharmaceuticals Holding Corp ","False","65030","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15880","STPK","STAR PEAK ENERGY TRANSITION CORP","False","14939","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15957","IPOF","Social Capital Hedosophia Holdings Corp VI","False","19956","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","300529438","$SPY $TSLA $NIO $AMC (Long bulls) Notoriously stubborn professional short hollywoodWOLF Goes LONG in a bold prediction the market will recover! “I’m very certain we see the S&amp;P 500 go to 5000. I’m holding longer than ever. 72 hours this time”","2021-03-07T20:47:01Z","1199520","valena","Valena M","https://avatars.stocktwits.com/production/1199520/thumb-1613373581.png","https://avatars.stocktwits.com/production/1199520/thumb-1613373581.png","2017-09-22","False","User","161","81","3379","182","441","","","False","1149","StockTwits for iOS","http://www.stocktwits.com/mobile","6499","NIO","NIO Inc.","False","269287","Bullish","https://charts.stocktwits.com/production/small_300529438.png","https://charts.stocktwits.com/production/large_300529438.png","https://charts.stocktwits.com/production/original_300529438.png","https://charts.stocktwits.com/production/original_300529438.png","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7271","SPY","SPDR S&P 500","False","316079","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8660","TSLA","Tesla, Inc.","False","629879","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11703","AMC","AMC Entertainment","False","202344","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","300529040","$tsla had the whole weekend to stew why i was so paper hand on friday.\n\nno i didnt sell but i bought so small at 550 that i lost any self-respect for me as investor/trader or whatever ppl call themselves in this game.","2021-03-07T20:44:42Z","1851480","GaryCartman","Jim Caulfield","http://avatars.stocktwits.com/images/default_avatar_thumb.jpg","https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg","2019-02-05","False","User","32","1","3144","19","522","","","False","2269","StockTwits Web","https://stocktwits.com","8660","TSLA","Tesla, Inc.","False","629879","","","","","","300529040","null","True","1","1","4517340","null","","","","","","","","","","","","","","","",""
"","","","","","","","","","300528640","$tsla honestly, MACH E is not even that good looking.\n\nall along, the only good looking EV is Taycan.\n\nBut anyone who knows Porsche is that they are just not built for volumes\n\ngotta keep up with that racing and chic picking up image.","2021-03-07T20:42:24Z","1851480","GaryCartman","Jim Caulfield","http://avatars.stocktwits.com/images/default_avatar_thumb.jpg","https://s3.amazonaws.com/st-avatars/images/default_avatar_thumb.jpg","2019-02-05","False","User","32","1","3144","19","522","","","False","2269","StockTwits Web","https://stocktwits.com","8660","TSLA","Tesla, Inc.","False","629879","","","","","","300528640","null","True","1","","","null","","","","","","","","","","","","","","","",""
"","","","","","","","","","300528625","$TSLA should get an nice bounce tomorrow but will be a little bit before we test $800 again. Bull market isn’t done yet.","2021-03-07T20:42:18Z","689899","TheCoolGuy","Luke Ryan","https://avatars.stocktwits.com/production/689899/thumb-1521415328.png","https://avatars.stocktwits.com/production/689899/thumb-1521415328.png","2016-02-17","False","User","115","76","5181","12","476","","","False","2269","StockTwits Web","https://stocktwits.com","8660","TSLA","Tesla, Inc.","False","629879","Bearish","","","","","","","","","","","","","","","","","","","","","","","","","","",""
